image_id	caption
1	a painting of a woman in a gold dress standing on a boat
2	a painting of a group of people sitting around a table
3	a painting of a man on a horse being attacked by a group of men
4	painting of a castle on a hill overlooking a lake and a man on a horse
6	a painting of a rainbow over a waterfall with a rainbow in the sky
8	a painting of three women on a boat with a view of the water
9	a painting of a woman in a white dress dancing with a group of people
12	a painting of a painting of a wave in the ocean
13	a painting of three spheres floating in the air over a field
15	a painting of a man sitting in a chair with two wings
16	three paintings of a woman with a baby and other people
17	a painting of jesus on the cross with two women and a man
18	a painting of a group of people sitting around a baby
19	a close up of a tapestry with a painting of a group of people
20	a painting of two men wrestling in a field
21	a painting of jesus with birds and doves in a circle
22	a painting of a man laying on a woman's chest in a room
23	a painting of a group of people sitting around a bed
24	a painting of a man laying on a bed with a woman
25	a painting of jesus on the cross with other people
26	a painting of a group of people sitting around a tree
27	a painting of jesus is laying on the cross with other people
28	an old man in a brown coat and black hat
29	painting of a woman holding a basket of flowers in a cave
30	a painting of a woman holding a baby in a field
31	a painting of a woman and two babies in a landscape
32	a painting of a group of people on a cross with a man on a cross
33	a painting of a man on the cross being taken from the ground
34	a painting of a woman holding a knife and a man
35	a painting of a woman in a bikini holding a knife
36	a painting of a woman in a green dress holding a drawing
37	a painting of a man in a black coat and a brown hat
38	a painting of a young girl in a white dress sitting on a chair
40	a painting of a painting of a large crowd of people
41	a painting of a man and a woman with a horse
43	a painting of a man with a sword and a rope
44	a painting of a woman sitting next to a spinning wheel
45	a painting of a man sitting on a bed with a skull
46	a painting of three nudes and a snake in a landscape
47	a painting of a man and woman in a wooded area with animals
48	a painting of a naked woman holding a knife in a gold frame
49	a painting of a man falling off a cliff with a woman in the foreground
50	a painting of a naked man laying on a rock with other men
51	a painting of a man on a cross with a sign above him
52	a painting of a woman in a hat writing a letter
53	a painting of a family in a room with a table and a man holding a baby
54	a painting of a harbor with many ships in it
55	a painting of a group of men standing around a man laying on the ground
56	painting of a man on a horse being led into a crowd
57	a painting of a man laying on the ground with other people
58	a painting of a group of men in military clothing standing on a beach
59	a painting of a woman sitting on a throne surrounded by angels
60	a painting of a group of people in a room with a baby
61	a painting of a couple of people and a dog in a rocky area
62	a painting of a woman in a black dress standing next to a rock
63	a painting of a tree with birds flying around it
